,Company/Brand,HeadQuarter,Sector,What it does,Investor,Amount($),Stage,Year
103,Wow Venue,"Mumbai, Maharashtra, India",Events,Wow Venue is an online platform.,Undisclosed,1500000.0,Venture - Series Unknown,2018
104,Chizel,"Pune, Maharashtra, India","3D Printing, Manufacturing, Product Design",Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,Undisclosed,1140351.0,Seed,2018
105,OTO Capital,"Mumbai, Maharashtra, India",Automotive,OTO Capital is a platform that allows you to own a car faster than ever.,Undisclosed,730994.0,Seed,2018
106,Boodmo,"Gurgaon, Haryana, India","Automotive, Retail",boodmo.com - large online marketplace for auto parts in India.,Undisclosed,1023392.0,Seed,2018
107,Khabri,"Haryana, Haryana, India","Apps, Audio",Khabri is a digital audio platform for content in vernacular.,Undisclosed,1140351.0,Seed,2018
108,MyNewCar.in,"Gurgaon, Haryana, India","Automotive, E-Commerce",MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,Undisclosed,1000000.0,Venture - Series Unknown,2018
109,HalaPlay Technologies,"Bangalore, Karnataka, India","Digital Entertainment, Fantasy Sports, Sports",A daily fantasy sports platform.,Undisclosed,5000000.0,Series A,2018
110,PlanetSpark,"Gurgaon, Haryana, India","E-Learning, EdTech, Education",PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,Undisclosed,233918.0,Seed,2018
111,WheelsEMI,"Pune, Maharashtra, India",—,"WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.",Undisclosed,14000000.0,Series B,2018
112,Forum for Innovation Incubation Research and Entrepreneurship,"Margão, Goa, India","Funding Platform, Incubators, Non Profit","FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",Undisclosed,1498538.0,Grant,2018
113,OYO,"Gurgaon, Haryana, India","Hospitality, Hotel, Leisure, Travel",OYO is an Indian hospitality startup that operates a network of budget hotels.,Undisclosed,100000000.0,Series E,2018
114,Quikr,"Bangalore, Karnataka, India","Classifieds, Internet, Marketplace, Rental Property","Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",Undisclosed,8040936.0,Debt Financing,2018
115,Tabono,"Gurgaon, Haryana, India",Sports,Tabono is a one stop environment for all your fitness solution.,Undisclosed,1140351.0,Seed,2018
116,LearnApp,"Noida, Uttar Pradesh, India","Banking, E-Learning, Trading Platform","Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",Undisclosed,292398.0,Seed,2018
117,Shopkirana,"Indore, Madhya Pradesh, India","E-Commerce, Mobile, Retail",Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,Undisclosed,2000000.0,Venture - Series Unknown,2018
118,Fric Bergen,"Alwar, Rajasthan, India",—,Fric Bergen is a leader in the specialty food industry.,Undisclosed,1140351.0,Venture - Series Unknown,2018
119,Articbot,"Kannur, Kerala, India","Artificial Intelligence, Information Technology",Articbot is a conversational AI platform for automated customer support and lead generation,Undisclosed,17544.0,Grant,2018
120,BuildSupply,"Gurgaon, Haryana, India","Enterprise Resource Planning (ERP), Information Services, Information Technology, Real Estate",India’s most advanced ERP system for the real estate,Undisclosed,3654971.0,Series A,2018
121,Fusion Microfinance,"New Delhi, Delhi, India","Banking, Finance, Financial Services",Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,Undisclosed,76023392.0,Series E,2018
122,Any time Doctor,"Chennai, Tamil Nadu, India",Software,Anytime Doctor is a Software company.,Undisclosed,1140351.0,Angel,2018
123,Go Payments,"Mumbai, Maharashtra, India","Information Services, Information Technology",Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.,Undisclosed,1140351.0,Corporate Round,2018
124,Guiddoo World,"Mumbai, Maharashtra, India","Audio, Mobile, Tourism, Travel",We build In-Destination Experiences!,Undisclosed,800000.0,Seed,2018
